PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
Div6,f,1960-1969,0,0.02659,0.02599,0.13,100000,2599,97733,7282013,72.82
Div6,f,1960-1969,1-4,0.00116,0.00462,1.53,97401,450,388492,7184281,73.76
Div6,f,1960-1969,5-9,0.00045,0.00226,2.3,96951,219,484163,6795789,70.10
Div6,f,1960-1969,10-14,0.00037,0.00187,2.63,96732,181,483232,6311626,65.25
Div6,f,1960-1969,15-19,0.00067,0.00336,2.72,96551,325,482016,5828393,60.37
Div6,f,1960-1969,20-24,0.00085,0.00426,2.54,96227,410,480124,5346377,55.56
Div6,f,1960-1969,25-29,0.00108,0.00538,2.61,95816,516,477850,4866253,50.79
Div6,f,1960-1969,30-34,0.00149,0.00741,2.66,95300,706,474854,4388402,46.05
Div6,f,1960-1969,35-39,0.00217,0.01081,2.66,94595,1023,470578,3913548,41.37
Div6,f,1960-1969,40-44,0.00326,0.01618,2.64,93572,1514,464286,3442970,36.79
Div6,f,1960-1969,45-49,0.00463,0.02292,2.66,92058,2110,455356,2978684,32.36
Div6,f,1960-1969,50-54,0.00661,0.03252,2.63,89948,2925,442813,2523328,28.05
Div6,f,1960-1969,55-59,0.00955,0.04671,2.63,87023,4064,425500,2080515,23.91
Div6,f,1960-1969,60-64,0.01436,0.06943,2.64,82958,5760,401177,1655015,19.95
Div6,f,1960-1969,65-69,0.02261,0.10722,2.6,77198,8278,366103,1253838,16.24
Div6,f,1960-1969,70-74,0.03522,0.16251,2.62,68921,11200,318003,887735,12.88
Div6,f,1960-1969,75-79,0.05785,0.25358,2.57,57721,14637,253035,569732,9.87
Div6,f,1960-1969,80-84,0.09555,0.38635,2.52,43084,16646,174207,316697,7.35
Div6,f,1960-1969,85-89,0.15352,0.54596,2.36,26438,14434,94019,142490,5.39
Div6,f,1960-1969,90-94,0.22402,0.68582,2.17,12004,8233,36749,48471,4.04
Div6,f,1960-1969,95-99,0.30374,0.79691,2.02,3771,3006,9895,11722,3.11
Div6,f,1960-1969,100-104,0.40842,0.88558,1.8,766,678,1661,1827,2.39
Div6,f,1960-1969,105-109,0.52226,0.93908,1.59,88,82,158,166,1.90
Div6,f,1960-1969,110+,0.61538,1.00000,1.63,5,5,9,9,1.63
Div6,f,1970-1979,0,0.01724,0.01698,0.1,100000,1698,98474,7533221,75.33
Div6,f,1970-1979,1-4,0.00076,0.00303,1.61,98302,298,392498,7434747,75.63
Div6,f,1970-1979,5-9,0.00036,0.00180,2.26,98005,177,489539,7042249,71.86
Div6,f,1970-1979,10-14,0.00030,0.00150,2.72,97828,147,488807,6552710,66.98
Div6,f,1970-1979,15-19,0.00062,0.00311,2.74,97682,304,487722,6063903,62.08
Div6,f,1970-1979,20-24,0.00073,0.00363,2.53,97378,354,486016,5576181,57.26
Div6,f,1970-1979,25-29,0.00084,0.00421,2.6,97024,408,484142,5090165,52.46
Div6,f,1970-1979,30-34,0.00114,0.00568,2.66,96616,549,481794,4606023,47.67
Div6,f,1970-1979,35-39,0.00176,0.00875,2.68,96067,841,478385,4124229,42.93
Div6,f,1970-1979,40-44,0.00271,0.01349,2.68,95226,1284,473150,3645844,38.29
Div6,f,1970-1979,45-49,0.00413,0.02046,2.66,93942,1922,465205,3172694,33.77
Div6,f,1970-1979,50-54,0.00603,0.02971,2.62,92020,2734,453604,2707489,29.42
Div6,f,1970-1979,55-59,0.00841,0.04121,2.64,89286,3680,437759,2253885,25.24
Div6,f,1970-1979,60-64,0.01260,0.06117,2.64,85607,5236,415686,1816126,21.21
Div6,f,1970-1979,65-69,0.01872,0.08961,2.63,80370,7202,384800,1400440,17.42
Div6,f,1970-1979,70-74,0.03046,0.14204,2.63,73168,10393,341237,1015640,13.88
Div6,f,1970-1979,75-79,0.04927,0.22031,2.6,62775,13830,280713,674402,10.74
Div6,f,1970-1979,80-84,0.08285,0.34444,2.55,48946,16859,203481,393690,8.04
Div6,f,1970-1979,85-89,0.13350,0.49586,2.41,32087,15911,119182,190209,5.93
Div6,f,1970-1979,90-94,0.20025,0.64601,2.25,16176,10450,52186,71027,4.39
Div6,f,1970-1979,95-99,0.28365,0.77414,2.07,5726,4433,15628,18841,3.29
Div6,f,1970-1979,100-104,0.39032,0.87417,1.84,1293,1131,2897,3213,2.48
Div6,f,1970-1979,105-109,0.50867,0.93470,1.62,163,152,299,317,1.95
Div6,f,1970-1979,110+,0.60632,1.00000,1.65,11,11,18,18,1.65
Div6,f,1980-1989,0,0.01121,0.01110,0.08,100000,1110,98984,7738092,77.38
Div6,f,1980-1989,1-4,0.00051,0.00204,1.57,98890,202,395069,7639108,77.25
Div6,f,1980-1989,5-9,0.00024,0.00121,2.37,98688,119,493127,7244039,73.40
Div6,f,1980-1989,10-14,0.00024,0.00119,2.69,98569,117,492575,6750912,68.49
Div6,f,1980-1989,15-19,0.00055,0.00272,2.72,98452,268,491647,6258337,63.57
Div6,f,1980-1989,20-24,0.00060,0.00299,2.57,98184,294,490205,5766690,58.73
Div6,f,1980-1989,25-29,0.00070,0.00352,2.59,97890,344,488621,5276485,53.90
Div6,f,1980-1989,30-34,0.00091,0.00455,2.61,97546,444,486669,4787863,49.08
Div6,f,1980-1989,35-39,0.00132,0.00657,2.66,97102,638,484018,4301195,44.30
Div6,f,1980-1989,40-44,0.00199,0.00988,2.67,96464,953,480100,3817176,39.57
Div6,f,1980-1989,45-49,0.00320,0.01589,2.67,95511,1517,474017,3337076,34.94
Div6,f,1980-1989,50-54,0.00516,0.02547,2.67,93993,2394,464390,2863059,30.46
Div6,f,1980-1989,55-59,0.00783,0.03845,2.64,91599,3522,449682,2398669,26.19
Div6,f,1980-1989,60-64,0.01191,0.05791,2.63,88077,5100,428284,1948987,22.13
Div6,f,1980-1989,65-69,0.01739,0.08348,2.61,82976,6927,398301,1520703,18.33
Div6,f,1980-1989,70-74,0.02670,0.12555,2.63,76049,9548,357645,1122402,14.76
Div6,f,1980-1989,75-79,0.04239,0.19227,2.59,66501,12786,301649,764757,11.50
Div6,f,1980-1989,80-84,0.07250,0.30810,2.56,53715,16550,228268,463108,8.62
Div6,f,1980-1989,85-89,0.11922,0.45714,2.45,37165,16990,142505,234840,6.32
Div6,f,1980-1989,90-94,0.18815,0.62308,2.29,20176,12571,66813,92335,4.58
Div6,f,1980-1989,95-99,0.27601,0.76566,2.09,7605,5823,21096,25522,3.36
Div6,f,1980-1989,100-104,0.38978,0.87476,1.85,1782,1559,3999,4427,2.48
Div6,f,1980-1989,105-109,0.51701,0.93831,1.61,223,209,405,427,1.91
Div6,f,1980-1989,110+,0.62199,1.00000,1.61,14,14,22,22,1.61
Div6,f,1990-1999,0,0.00876,0.00869,0.08,100000,869,99198,7776384,77.76
Div6,f,1990-1999,1-4,0.00046,0.00184,1.59,99131,182,396085,7677186,77.44
Div6,f,1990-1999,5-9,0.00021,0.00105,2.41,98949,104,494475,7281101,73.58
